"Computador";"IP";"ZE_1";"ZE_2";"ZE_3";"SEDE"
"CMA003PDC02";"10.198.4.130";"004";"005";"006";"CAXIAS"
"CMA006PDC02";"10.198.7.130";"007";"";"";"CODÓ"
"CMA013PDC02";"10.198.8.130";"008";"068";"";"COROATA"
"ZMA009PDC02";"10.198.9.130";"009";"067";"";"PEDREIRAS"
"ZMA011PDC02";"10.198.11.130";"011";"";"";"ALTO PARNAÍBA"
"ZMA012PDC02";"10.198.12.130";"012";"";"";"ARAIOSES"
"CMA001PDC02";"10.198.13.130";"013";"066";"";"BACABAL"
"ZMA014PDC02";"10.198.14.130";"014";"";"";"CURURUPU"
"ZMA015PDC02";"10.198.15.130";"015";"";"";"GRAJAÚ"
"ZMA016PDC02";"10.198.16.130";"016";"109";"";"ITAPECURU MIRIM"
"ZMA017PDC02";"10.198.17.130";"017";"";"";"PASTOS BONS"
"ZMA018PDC02";"10.198.18.130";"018";"";"";"ROSÁRIO"
"CMA012PDC02";"10.198.19.130";"019";"";"";"TIMON"
"ZMA020PDC02";"10.198.20.130";"020";"";"";"VIANA"
"ZMA021PDC02";"10.198.21.130";"021";"";"";"BARÃO DE GRAJAÚ"
"CMA066PDC02";"10.198.22.130";"022";"105";"";"BALSAS"
"ZMA023PDC02";"10.198.23.130";"023";"097";"";"BARRA DO CORDA"
"ZMA024PDC02";"10.198.24.130";"024";"";"";"BREJO"
"ZMA025PDC01";"10.198.25.130";"025";"";"";"BURITI"
"ZMA026PDC02";"10.198.26.130";"026";"";"";"CAROLINA"
"ZMA027PDC02";"10.198.27.130";"027";"";"";"ARARI"
"ZMA028PDC02";"10.198.28.130";"028";"";"";"COELHO NETO"
"ZMA029PDC02";"10.198.29.130";"029";"";"";"COLINAS"
"ZMA030PDC02";"10.198.30.130";"030";"";"";"GUIMARÃES"
"ZMA031PDC02";"10.198.31.130";"031";"";"";"ICATU"
"ZMA032PDC02";"10.198.32.130";"032";"";"";"HUMBERTO DE CAMPOS"
"CMA002PDC02";"10.198.33.130";"033";"065";"092";"IMPERATRIZ"
"ZMA034PDC02";"10.198.34.130";"034";"";"";"SÃO RAIMUNDO DAS MANGABEIRAS"
"ZMA035PDC02";"10.198.35.130";"035";"";"";"SÃO LUÍS GONZAGA DO MARANHÃO"
"ZMA036PDC02";"10.198.36.130";"036";"";"";"PARNARAMA"
"ZMA037PDC02";"10.198.37.130";"037";"106";"";"PINNHEIRO"
"ZMA038PDC02";"10.198.38.130";"038";"";"";"SÃO BENTO"
"ZMA039PDC02";"10.198.39.130";"039";"";"";"TURIAÇU"
"ZMA040PDC02";"10.198.40.130";"040";"";"";"TUTÓIA"
"ZMA041PDC02";"10.198.41.130";"041";"";"";"VITÓRIA DO MEARIM"
"ZMA042PDC02";"10.198.42.130";"042";"";"";"CHAPADINHA"
"ZMA043PDC02";"10.198.43.130";"043";"";"";"PINDARÉ-MIRIM"
"ZMA044PDC02";"10.198.44.130";"044";"";"";"PASSAGEM FRANCA"
"ZMA045PDC02";"10.198.45.130";"045";"";"";"PENALVA"
"ZMA046PDC02";"10.198.46.130";"046";"";"";"PORTO FRANCO"
"ZMA047PDC02";"10.198.47.130";"047";"";"";"SÃO JOSÉ DE RIBAMAR"
"ZMA048PDC02";"10.198.48.130";"048";"";"";"DOM PEDRO"
"ZMA049PDC02";"10.198.49.130";"049";"";"";"VITORINO FREIRE"
"ZMA050PDC02";"10.198.50.130";"050";"";"";"VARGEM GRANDE"
"ZMA051PDC02";"10.198.51.130";"051";"";"";"SÃO BERNARDO"
"ZMA052PDC02";"10.198.52.130";"052";"";"";"ALCÂNTARA"
"ZMA053PDC02";"10.198.53.130";"053";"";"";"SÃO JOÃO DOS PATOS"
"ZMA054PDC02";"10.198.54.130";"054";"";"";"PRESIDENTE DUTRA"
"ZMA055PDC02";"10.198.55.130";"055";"";"";"CARUTAPERA"
"ZMA056PDC02";"10.198.56.130";"056";"";"";"BARREIRINHAS"
"CMA004PDC02";"10.198.57.130";"057";"077";"";"SANTA INÊS"
"ZMA058PDC02";"10.198.58.130";"058";"";"";"JOÃO LISBOA"
"ZMA060PDC02";"10.198.60.130";"060";"";"";"SÃO DOMINGOS DO MARANHÃO"
"ZMA061PDC02";"10.198.61.130";"061";"";"";"ESPERANTINÓPOLIS"
"ZMA062PDC02";"10.190.62.130";"062";"";"";"LORETO"
"ZMA063PDC02";"10.198.63.130";"063";"";"";"SÃO JOÃO BATISTA"
"ZMA064PDC02";"10.198.64.130";"064";"";"";"CÂNDIDO MENDES"
"ZMA069PDC02";"10.198.69.130";"069";"";"";"SANTO ANTÔNIO DOS LOPES"
"ZMA070PDC02";"10.198.70.130";"070";"";"";"SANTA LUZIA"
"ZMA071PDC02";"10.198.71.130";"071";"098";"";"AÇAILÂNDIA"
"ZMA072PDC02";"10.198.72.130";"072";"";"";"MIRADOR"
"ZMA073PDC02";"10.198.73.130";"073";"";"";"URBANO SANTOS"
"ZMA074PDC02";"10.198.74.130";"074";"";"";"LAGO DA PEDRA"
"ZMA075PDC02";"10.198.75.130";"075";"";"";"RIACHÃO"
"ZMA078PDC02";"10.198.78.130";"078";"";"";"BOM JARDIM"
"ZMA079PDC02";"10.198.79.130";"079";"";"";"TUNTUM"
"ZMA080PDC02";"10.198.80.130";"080";"";"";"SANTA LUZIA DO PARUÁ"
"ZMA081PDC02";"10.198.81.130";"081";"";"";"MATÕES"
"ZMA082PDC02";"10.198.82.130";"082";"";"";"ESTREITO"
"ZMA083PDC02";"10.198.83.130";"083";"";"";"SANTA HELENA"
"ZMA084PDC02";"10.198.84.130";"084";"";"";"SÃO MATEUS DO MARANHÃO"
"ZMA086PDC02";"10.198.86.130";"086";"";"";"MATINHA"
"ZMA087PDC02";"10.198.87.130";"087";"";"";"OLHO DAGUA DAS CUNHÃS"
"ZMA093PDC02";"10.198.93.130";"093";"";"";"PAÇO DO LUMIAR"
"ZMA095PDC02";"10.198.95.130";"095";"";"";"BURITICUPU"
"ZMA096PDC02";"10.198.96.130";"096";"";"";"ZÉ DOCA"
"ZMA099PDC02";"10.198.99.130";"099";"";"";"AMARANTE DO MARANHÃO"
"ZMA100PDC02";"10.198.100.130";"100";"";"";"MARACAÇUMÉ"
"ZMA101PDC02";"10.198.101.130";"101";"";"";"GOVERNADOR NUNES FREIRE"
"ZMA102PDC02";"10.198.102.130";"102";"";"";"PAULO RAMOS"
"ZMA103PDC02";"10.198.103.130";"103";"";"";"MONTES ALTOS"
"ZMA104PDC02";"10.198.104.130";"104";"";"";"ARAME"
"ZMA107PDC02";"10.198.107.130";"107";"";"";"BACURI"
"ZMA108PDC02";"10.198.108.130";"108";"";"";"GOVERNADOR EUGÊNIO BARROS"
"ZMA110PDC02";"10.198.110.130";"110";"";"";"MORROS"
"ZMA111PDC02";"10.198.111.130";"111";"";"";"BEQUIMÃO"
